;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184
2020-10-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;;;;;;;;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;30;;;0;18;0;0;0;0;0;30;210;0;18;54;50;0;6;6;6;0;0;0;0;0;0;12;12;48;0;0;4;0;0;0;0;162;0;0;0;0;0;0;0;8;0;20;0;0;0;0;0;0;11;24;80;64;0;0;4;0;0;24;0;0;6;0;0;8;48;48;96;0;;12;36;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;;24;;0;120;0;32;160;30
2020-10-19;6;36;72;6;24;56;24;0;0;90;0;24;24;24;42;;12;;6;42;36;12;36;66;0;30;18;0;12;4;24;;;;;24;18;;12;138;0;30;24;0;6;18;12;;40;18;;4;6;152;48;;;;;;;;;0;;;136;16;8;40;36;66;12;12;8;24;54;48;16;16;12;46;60;48;;;18;36;9;14;16;0;0;0;200;6;24;84;50;60;18;36;6;6;0;6;6;36;126;162;84;64;8;36;8;12;12;42;60;144;0;30;44;0;30;8;6;0;6;10;32;90;52;28;0;0;127;37;126;48;14;78;4;42;30;24;42;30;60;108;0;8;106;70;78;6;;18;30;0;0;78;6;12;20;24;0;20;20;4;36;28;24;20;0;0;;8;;0;104;8;8;96;30
2020-10-20;0;6;6;6;0;8;6;6;0;6;6;0;0;0;0;;0;;0;18;12;12;0;6;4;6;0;0;0;0;6;;;;;12;0;;0;12;0;0;0;0;0;0;0;;0;0;;0;12;0;0;;;;;;;;;0;;;0;0;6;20;0;0;0;0;0;0;0;0;0;0;0;0;30;30;;;0;0;9;0;0;0;0;0;130;0;12;150;60;18;6;24;6;0;0;0;0;18;48;48;60;44;0;8;4;0;12;0;0;156;0;6;16;0;0;0;0;0;0;10;0;0;0;0;24;4;12;6;64;56;4;18;2;24;30;32;12;12;24;0;0;20;70;82;12;12;;24;24;0;0;36;0;12;4;0;0;4;0;4;4;4;0;0;0;0;;16;;12;120;8;16;176;24
2020-10-21;0;54;66;24;48;64;36;12;12;54;6;12;6;18;36;;18;;6;42;42;30;48;132;4;72;36;18;28;4;24;;;;;48;66;;6;120;16;24;36;6;12;24;12;;32;24;;0;0;88;56;;;;;;;;;2;;;120;16;14;0;24;44;12;12;0;8;12;12;4;4;0;36;60;48;;;24;27;18;12;4;0;0;0;40;0;12;216;80;24;18;36;6;6;6;18;24;36;138;150;96;72;20;12;4;6;6;54;36;282;12;6;24;0;36;40;8;0;0;20;32;108;36;30;20;0;121;18;140;72;4;138;2;30;36;40;36;18;30;82;0;16;124;88;24;6;;48;48;4;0;30;0;6;16;28;0;24;4;0;64;24;24;24;0;0;;24;;0;208;0;16;240;48
2020-10-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;;;;;;;;;0;;;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;96;66;;;0;18;18;0;0;0;2;70;40;0;24;120;110;36;16;48;6;6;0;6;6;24;90;108;96;76;0;16;8;6;24;0;0;204;0;18;24;20;0;0;0;8;6;30;0;0;2;4;20;0;10;30;112;96;10;36;2;18;12;32;48;48;66;0;0;12;124;102;96;6;;48;48;12;12;72;0;6;8;8;0;12;0;4;40;4;0;0;0;0;;48;;0;168;0;56;216;54
2020-10-23;0;42;66;36;12;72;36;0;0;54;0;0;12;24;18;;12;;6;30;30;30;42;78;0;48;18;12;16;8;30;;;;;24;36;;0;144;0;24;18;0;6;36;0;;16;0;;4;0;112;40;;;;;;;;;0;;;88;8;12;0;6;64;0;0;0;0;6;18;18;18;12;48;78;66;;;24;0;9;16;12;0;0;40;30;0;30;84;70;60;4;28;6;0;12;6;0;42;108;144;90;68;20;28;4;6;6;72;12;228;0;30;20;20;30;8;10;0;0;30;32;58;30;30;20;4;130;65;116;56;2;66;6;54;36;32;12;48;84;26;12;36;98;80;36;6;;114;36;4;4;84;0;0;44;36;0;36;8;8;100;28;20;16;0;6;;48;;40;88;0;32;232;48
2020-10-24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;;;;;;;;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;48;;;0;18;0;0;0;0;0;20;30;0;24;42;70;0;6;6;6;0;0;0;0;0;0;0;12;64;0;0;4;0;0;0;0;168;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;21;10;88;64;0;0;2;0;0;16;0;0;0;0;0;4;80;56;36;0;;24;24;8;8;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;;40;;0;32;0;24;136;18
2020-10-26;0;60;48;24;30;48;36;6;6;84;6;18;6;12;18;;0;;0;78;24;30;60;54;4;48;30;30;12;12;42;;;;;30;54;;12;168;16;30;30;6;12;24;6;;24;6;;0;18;80;24;;;;;;;;;0;;;104;8;14;0;12;76;12;18;8;16;30;18;14;16;16;52;60;48;;;12;36;18;34;20;0;4;30;40;6;24;84;80;54;48;48;6;6;0;6;12;24;138;162;108;52;8;24;0;18;12;36;42;132;0;12;32;6;24;184;140;0;6;10;20;72;44;32;0;0;132;49;106;64;2;90;0;54;54;8;66;36;72;32;0;4;98;114;60;18;;102;30;0;0;78;6;12;32;20;0;28;8;0;24;28;8;20;2;2;;32;;0;72;0;24;104;24
2020-10-27;0;6;6;6;0;8;6;6;0;6;6;0;0;0;0;;0;;0;18;6;12;0;12;0;0;0;0;0;0;6;;;;;12;0;;0;0;0;6;0;0;0;0;0;;0;0;;0;0;0;0;;;;;;;;;0;;;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;36;36;;;0;9;18;2;0;0;0;20;30;0;12;132;98;18;12;24;6;12;0;0;6;30;66;60;60;40;0;8;0;0;12;6;6;180;0;18;8;0;0;0;0;8;6;16;0;0;0;0;0;0;11;8;72;56;2;12;0;30;24;0;6;36;30;0;0;16;70;74;36;6;;24;24;0;0;36;0;0;0;4;0;0;0;0;4;0;0;0;6;2;;24;;20;160;8;32;144;24
2020-10-28;0;36;78;36;36;56;24;0;6;78;12;0;18;24;30;;0;;6;96;30;18;84;114;4;60;42;48;8;4;30;;;;;30;78;;0;162;8;30;12;0;6;24;6;;24;6;;4;6;104;40;;;;;;;;;0;;;112;24;14;0;18;56;6;12;0;0;24;24;12;6;2;48;48;36;;;6;9;9;18;14;0;0;20;20;0;12;216;100;18;12;60;6;0;0;6;18;54;162;144;102;80;12;0;4;12;18;30;30;240;18;12;0;0;30;136;112;0;12;20;4;130;60;34;12;2;147;25;132;96;10;48;0;30;24;32;42;30;48;14;0;8;154;82;54;6;;90;60;8;4;48;6;24;24;16;2;24;12;0;4;4;0;4;0;0;;48;;32;216;8;24;272;60
2020-10-29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;0;12;0;0;0;0;0;0;0;;0;0;;0;6;0;0;;;;;;;;;0;;;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;96;78;;;0;18;18;0;0;0;0;40;40;0;30;156;160;48;14;56;12;0;0;0;0;24;102;96;132;124;0;16;8;6;24;0;0;276;0;42;20;0;0;0;0;0;0;30;0;0;0;0;20;0;22;21;144;104;0;36;0;24;36;40;60;18;72;0;0;4;172;118;72;6;;48;60;12;12;84;0;6;8;8;2;8;0;8;8;0;0;0;4;8;;64;;32;184;0;40;304;66
2020-10-30;0;66;42;12;24;48;24;0;0;90;0;12;6;18;24;;6;;6;72;30;12;66;90;0;42;30;24;12;8;30;;;;;36;36;;0;120;0;18;24;6;6;12;0;;16;0;;0;0;88;48;;;;;;;;;2;;;112;8;6;20;12;78;12;12;0;8;24;24;10;14;4;60;102;84;;;30;18;9;20;6;0;0;20;50;0;12;84;70;42;12;30;0;0;0;0;0;36;126;126;84;56;12;4;4;0;18;30;18;228;12;24;4;0;24;96;96;0;0;20;20;104;38;32;6;0;172;74;118;88;14;30;0;30;48;16;30;54;48;6;0;20;138;110;42;6;;90;36;0;0;72;0;12;28;12;0;20;16;4;8;16;12;16;0;0;;32;;0;104;0;24;224;54
2020-10-31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;;;;;;;;;0;;;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;60;42;;;0;18;9;0;0;0;0;20;30;0;18;60;80;0;0;6;0;0;0;0;0;0;0;6;6;40;0;0;4;0;0;0;0;156;0;0;0;0;0;0;0;8;0;20;0;0;0;0;0;0;36;36;96;72;0;0;0;0;6;24;6;0;0;0;0;16;72;56;48;0;;36;24;8;8;0;0;6;0;0;0;4;0;4;0;0;0;0;0;0;;48;;0;80;0;24;176;42
2020-11-02;0;24;54;24;36;48;18;0;6;102;0;24;12;12;24;;12;;0;66;30;24;60;96;4;60;36;12;8;16;18;;;;;12;30;;6;120;0;30;12;0;0;30;6;;16;0;;4;0;144;56;;;;;;;;;0;;;56;16;14;0;0;0;12;12;8;8;30;18;16;12;18;56;96;60;;;18;18;27;10;18;0;4;20;30;0;36;78;96;24;24;54;6;12;6;6;36;48;162;210;96;72;12;24;8;12;18;48;54;126;6;30;24;12;30;136;116;0;12;26;20;96;48;26;0;0;28;24;132;96;6;48;0;60;36;16;72;60;84;40;12;24;102;88;48;12;;102;36;8;8;78;6;6;36;28;2;20;16;4;72;24;16;12;0;0;;32;;0;88;0;40;112;48
2020-11-03;0;6;12;6;12;8;6;6;12;6;12;0;0;0;0;;0;;0;18;18;12;0;12;0;0;6;6;0;0;6;;;;;12;0;;0;18;0;0;0;0;0;0;0;;0;0;;0;6;8;0;;;;;;;;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;30;;;0;36;18;0;0;0;0;0;30;0;12;156;90;36;6;12;0;6;0;0;0;12;54;30;60;52;0;8;8;0;6;0;0;156;0;30;8;0;0;0;0;0;0;20;0;0;0;0;16;0;6;15;80;64;6;12;2;30;30;24;12;30;36;0;0;12;78;60;24;6;;24;24;4;0;30;0;6;4;0;0;4;0;0;8;8;0;0;2;2;;32;;0;176;0;24;104;18
2020-11-04;0;90;84;48;24;56;54;6;6;102;0;24;24;24;36;;12;;12;102;54;30;114;138;4;48;48;48;24;20;42;;;;;36;78;;12;180;16;12;24;0;12;36;0;;40;6;;0;6;112;32;;;;;;;;;0;;;88;8;12;0;6;0;6;12;0;8;6;6;4;10;10;40;246;198;;;18;18;0;12;8;0;0;0;30;6;18;378;116;42;10;52;22;0;6;12;0;40;120;138;84;76;16;4;0;12;12;42;36;240;6;12;4;6;36;72;100;0;6;30;28;126;58;30;24;2;19;42;108;96;6;24;4;24;30;40;36;36;58;10;0;8;150;118;78;0;;84;36;4;0;42;0;24;28;20;2;8;4;4;44;4;12;16;0;0;;56;;8;208;8;24;248;30
2020-11-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;;;;;;;;;4;;;0;0;12;0;0;0;0;0;0;0;0;0;0;0;12;0;294;234;;;0;18;18;0;0;0;0;50;60;0;30;402;130;24;10;40;10;0;0;0;0;34;60;78;90;120;0;12;8;6;6;0;0;318;0;12;24;20;0;0;0;8;0;20;0;0;0;0;0;0;12;4;134;96;4;18;2;6;24;24;42;18;52;0;0;4;142;104;84;12;;48;36;8;8;66;0;6;8;8;0;12;0;8;32;8;0;0;10;8;;72;;0;184;8;56;272;54
2020-11-06;0;48;90;36;48;40;36;0;0;84;6;12;18;30;42;;18;;6;102;42;54;66;60;0;60;48;48;32;16;24;;;;;54;54;;6;174;0;18;18;0;0;18;6;;16;0;;0;6;144;48;;;;;;;;;0;;;152;16;4;0;6;0;0;6;0;0;6;24;14;16;6;52;180;174;;;18;27;18;16;6;0;4;40;40;0;24;282;98;60;6;18;0;0;0;0;24;30;102;114;132;100;12;8;4;6;18;30;18;270;18;30;16;0;30;0;8;0;6;20;16;118;76;22;0;0;76;89;172;104;10;30;0;48;48;24;24;24;48;12;0;12;130;112;60;6;;66;48;0;0;84;0;18;36;24;2;20;8;4;36;32;0;4;0;0;;64;;0;144;0;32;256;72
2020-11-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;;;;;;;;;0;;;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;90;78;;;0;18;0;0;0;0;0;20;10;0;6;192;60;6;0;0;6;0;0;0;0;6;0;12;6;44;0;0;4;6;0;0;0;180;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;11;10;72;48;0;0;2;0;6;16;0;0;0;0;0;20;64;38;36;6;;12;36;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;;24;;0;64;0;32;152;36
2020-11-09;0;42;24;6;36;56;18;12;6;108;0;30;30;24;54;;12;;12;144;78;78;90;30;0;96;84;36;4;4;36;;;;;18;42;;6;150;0;36;48;12;12;24;6;;24;0;;12;0;112;88;;;;;;;;;0;;;112;8;0;20;6;0;18;12;8;32;18;36;8;12;14;40;72;72;;;18;18;18;12;16;0;0;10;10;0;18;162;70;42;18;36;0;12;0;6;6;60;120;192;114;52;12;8;4;6;12;66;78;120;6;12;8;0;30;16;12;0;6;10;24;98;58;26;12;0;53;76;80;32;6;66;0;54;48;16;66;36;78;12;0;16;108;92;30;12;;30;24;0;0;60;6;18;24;24;0;20;8;0;20;20;16;12;0;0;;32;;20;48;8;8;144;18
2020-11-10;0;6;6;6;6;8;0;0;6;0;6;0;0;0;0;0;0;0;0;18;12;12;0;12;0;6;0;6;0;0;6;;;;;12;0;;0;12;0;0;0;0;0;0;0;;0;0;;0;0;8;0;;;;;;;;;0;;;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;66;30;;;0;18;9;0;0;0;0;10;20;0;12;162;50;24;18;18;12;6;0;6;0;18;60;78;66;32;0;4;4;6;12;18;12;144;0;18;4;0;0;288;0;24;0;20;0;0;4;4;20;2;16;8;40;48;8;6;0;12;30;16;18;36;48;0;0;8;58;38;24;12;;12;24;0;0;42;0;18;4;4;0;0;0;0;8;0;0;0;2;2;;24;;40;136;8;24;128;36
2020-11-11;24;42;108;54;24;56;66;6;6;108;24;12;18;30;36;6;24;12;12;186;162;168;210;78;8;114;114;78;0;4;72;;;;;90;66;;18;258;24;30;12;6;12;42;12;;32;6;;0;6;176;40;;;0;0;0;;;;4;;;104;8;10;0;12;0;12;12;0;0;18;12;20;14;8;44;66;42;;;12;18;18;16;16;6;2;30;20;0;12;264;90;48;12;48;6;0;6;6;18;42;114;114;78;76;8;0;4;12;12;60;36;282;12;12;0;0;48;0;12;0;6;20;12;96;42;14;0;0;17;21;128;88;8;42;2;42;24;40;48;36;54;10;0;4;132;90;54;12;;54;24;0;0;72;6;12;12;12;2;8;12;0;4;12;8;12;0;0;;24;;0;208;0;32;216;36
2020-11-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;0;0;0;;;;0;;;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;150;114;;0;0;18;36;2;0;0;0;30;30;0;18;366;106;24;10;52;10;0;0;0;0;34;72;102;102;88;0;16;4;0;18;0;6;168;0;18;12;0;0;0;0;0;0;30;0;0;0;0;0;0;3;17;88;88;2;42;0;18;42;32;30;24;42;0;0;8;130;80;48;6;;36;36;8;8;60;0;18;4;4;0;4;0;8;0;0;0;0;2;2;32;48;40;0;168;0;48;272;42
2020-11-13;6;60;30;30;24;64;6;0;6;102;6;30;12;12;54;6;0;12;6;120;66;78;120;60;0;78;54;48;4;4;30;;;;;24;42;;0;162;8;54;36;0;6;12;12;0;16;0;;0;0;144;56;;;0;0;0;;;;0;;;120;16;0;0;12;0;6;6;0;8;12;18;18;12;6;48;72;60;;0;30;36;18;12;6;6;2;20;30;0;12;168;80;54;6;34;4;0;0;0;0;28;120;168;90;52;8;16;0;0;12;48;42;198;12;18;4;20;30;8;14;0;12;20;8;64;26;22;12;0;52;84;114;48;18;54;0;42;48;24;54;42;100;4;0;8;118;116;48;6;;60;36;4;4;90;0;0;8;8;0;8;4;4;32;12;12;4;2;6;24;48;32;28;104;8;16;192;48
2020-11-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;0;0;0;;;;0;;;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;66;60;;0;0;18;0;0;0;0;0;10;20;0;18;126;60;6;0;6;0;0;0;0;0;0;0;6;0;64;0;4;8;0;0;0;6;162;0;0;4;0;0;0;0;8;0;20;0;0;0;0;0;0;6;5;56;40;0;0;2;0;0;24;0;0;30;0;0;0;80;48;48;6;;24;12;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;16;40;24;0;64;0;32;144;30
2020-11-16;12;48;78;42;36;48;48;0;12;48;24;24;18;24;18;12;24;24;12;150;96;84;114;60;4;108;66;60;0;0;42;;;;;54;36;0;0;180;16;24;30;18;12;12;0;6;32;0;;0;12;112;56;;;46;0;28;;;;0;;;96;8;2;20;18;0;0;12;16;8;18;12;18;18;12;36;72;72;;0;18;9;9;18;18;12;4;30;30;12;30;66;74;42;52;78;12;18;0;6;30;54;150;204;144;60;12;16;0;18;24;84;72;90;18;30;24;0;48;8;12;0;6;26;16;86;38;38;0;0;52;66;146;56;6;60;0;54;54;8;66;60;90;14;0;20;100;106;60;30;;48;18;0;0;66;12;36;32;12;2;4;4;4;28;16;16;20;0;2;0;32;24;0;48;0;32;104;24
2020-11-17;0;12;12;6;6;16;0;0;6;6;12;0;0;0;0;0;0;0;0;18;12;12;0;12;0;6;0;12;0;4;12;;;;;12;0;0;12;0;0;0;0;0;0;0;0;0;8;0;;0;0;16;0;;;0;0;0;;;;0;;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;84;48;;0;0;0;0;0;0;18;4;20;30;0;18;132;60;24;6;18;0;6;0;0;0;18;48;48;48;52;0;4;4;0;6;6;0;132;0;12;4;0;0;0;0;8;0;10;0;0;0;6;20;0;6;26;80;56;8;30;4;24;18;24;6;24;12;0;0;8;78;62;36;0;;24;24;8;0;42;0;0;4;0;0;4;0;4;8;4;0;0;0;0;0;16;0;0;160;0;24;160;36
